iter	RMSE
0	0.01350444251
1	0.0133242528
2	0.01314647449
3	0.01297107461
4	0.01279802079
5	0.01262728118
6	0.01245882474
7	0.01229261945
8	0.0121286355
9	0.01196684266
10	0.01180721144
11	0.01164971264
12	0.01149431746
13	0.01134099757
14	0.01118972507
15	0.01104047232
16	0.01089321224
17	0.01074791803
18	0.01060456332
19	0.01046312199
20	0.01032356847
21	0.01018587742
22	0.01005002391
23	0.009915983266
24	0.009783731264
25	0.009653243898
26	0.009524497537
27	0.00939746892
28	0.009272135118
29	0.00914847341
30	0.009026461452
31	0.008906077199
32	0.008787298859
33	0.008670105009
34	0.008554474505
35	0.008440386399
36	0.008327820124
37	0.00821675535
38	0.008107172026
39	0.007999050385
40	0.007892370884
41	0.00778711429
42	0.007683261604
43	0.007580794089
44	0.007479693256
45	0.007379940856
46	0.007281518908
47	0.007184409647
48	0.00708859556
49	0.006994059369
50	0.006900784017
51	0.006808752686
52	0.006717948776
53	0.006628355912
54	0.006539957937
55	0.006452738914
56	0.006366683112
57	0.006281775013
58	0.006197999311
59	0.006115340896
60	0.006033784866
61	0.005953316518
62	0.00587392134
63	0.005795585021
64	0.005718293436
65	0.005642032651
66	0.005566788918
67	0.00549254867
68	0.005419298523
69	0.005347025272
70	0.005275715887
71	0.005205357513
72	0.005135937466
73	0.005067443233
74	0.004999862462
75	0.004933182974
76	0.004867392747
77	0.004802479921
78	0.004738432794
79	0.004675239821
80	0.004612889611
81	0.004551370922
82	0.004490672666
83	0.0044307839
84	0.004371693829
85	0.004313391802
86	0.004255867307
87	0.004199109976
88	0.004143109576
89	0.004087856015
90	0.00403333933
91	0.003979549695
92	0.003926477413
93	0.003874112919
94	0.003822446771
95	0.003771469657
96	0.003721172388
97	0.003671545897
98	0.003622581237
99	0.003574269584
100	0.003526602227
101	0.003479570575
102	0.003433166149
103	0.003387380585
104	0.00334220563
105	0.003297633139
106	0.003253655078
107	0.00321026352
108	0.003167450643
109	0.00312520873
110	0.003083530165
111	0.003042407437
112	0.003001833131
113	0.002961799936
114	0.002922300633
115	0.002883328102
116	0.002844875319
117	0.002806935353
118	0.002769501363
119	0.002732566603
120	0.002696124414
121	0.002660168227
122	0.002624691561
123	0.002589688021
