,Price,Space,Rooms,Market,Year,elevator,Parking place,balkon,taras,ogródek,district,street,level,max_level
5372,561900,56,3,wtórny,1976,1,1,0,0,0, Mokotów, Nicejska,11,12
4476,599000,56,3,wtórny,2022,1,1,0,0,0, Mokotów, Katalońska,8,11
3513,785000,56,2,wtórny,2022,1,1,0,0,0, Wola, Zawiszy,2,4
15203,709000,56,2,wtórny,2014,1,1,0,0,0, Żoliborz, Sady Żoliborskie,8,8
7822,950000,56,3,wtórny,2018,1,1,0,0,0, Wilanów, Wilanów,1,4
2633,690000,56,2,wtórny,2021,1,1,0,0,0, Praga-Północ, Praga-Północ,4,6
3400,870325,56,3,wtórny,2019,1,1,0,0,0, Bemowo,gen. Meriana C. Coopera,3,3
6572,634000,56,3,wtórny,2012,1,1,0,0,0, Białołęka, Białołęka,1,3
9216,850000,56,3,wtórny,2013,1,1,0,0,0, Praga-Południe, Kamionek,4,5
16212,549000,56,2,wtórny,2003,0,0,0,0,0, Białołęka, Światowida,3,3
16915,800000,56,3,wtórny,1980,1,0,0,0,0, Ursynów, Ludwika Hirszfelda,4,8
1700,495794,56,3,pierwotny,2022,0,1,0,0,0, Białołęka, Kąty Grodziskie,1,2
11939,639000,56,3,pierwotny,2024,1,1,0,0,0, Bemowo, Szeligowska,0,5
5133,878800,56,3,wtórny,2021,1,1,0,0,0, Mokotów, Siekierki,2,2
12276,690000,56,2,wtórny,1990,0,0,0,0,0, Ursynów, Ursynów,3,5
10334,615000,56,3,wtórny,1966,0,0,0,0,0, Bielany, Przasnyska,3,4
20134,560000,56,2,wtórny,2014,1,1,0,0,0, Białołęka, Aluzyjna,2,4
2444,635000,56,3,wtórny,2008,1,1,0,0,0, Praga-Południe,Stanisława Mikołajczyka,7,8
5098,517407,56,3,pierwotny,2021,0,1,0,0,0, Białołęka, Białołęka,1,2
12402,1040000,56,2,wtórny,1952,0,1,0,0,0, Mokotów,Kazimierzowska,1,3
15054,1040000,56,2,wtórny,1952,0,1,0,0,0, Mokotów,Kazimierzowska,1,3
7983,699000,56,5,wtórny,1974,1,0,0,0,0, Mokotów, Mokotów,0,10
10900,779999,56,3,wtórny,2008,1,1,0,0,0, Bemowo,Narwik,0,7
16109,779999,56,3,wtórny,2008,1,1,0,0,0, Bemowo,Narwik,0,7
9478,560000,56,3,wtórny,1965,0,1,0,0,0, Praga-Południe,Szaserów,4,4
4616,560000,56,3,wtórny,1965,0,1,0,0,0, Praga-Południe,Szaserów,4,4
5106,616000,56,3,wtórny,1973,1,0,0,0,0, Praga-Północ,Bródnowska,2,11
