Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
"Warszawa, Praga-Południe, Kokoryczki",692000,63,3,wtórny,2021,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","balkon, ogródek, taras",1/8,garaż/miejsce parkingowe
"Warszawa, Włochy, Jutrzenki",489000,40,2,wtórny,2022,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","balkon, ogródek, taras",2/6,garaż/miejsce parkingowe
"Warszawa, Wola, Czyste, Wieluńska",445000,30.5,2,wtórny,1973,"telewizja kablowa, internet, telefon","balkon, ogródek",6/10,garaż/miejsce parkingowe
"Warszawa, Bemowo, Chrzanów, Szeligowska",439000,34,2,wtórny,2021,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","balkon, ogródek, taras",2/5,garaż/miejsce parkingowe
"Warszawa, Śródmieście, al. Aleje Jerozolimskie Śródmieście / Ochota BRAMA ZACHODNIA Bezpośrednio 45m2 Al Jerozolimskie do rem OKAZJA",616000,45,3,wtórny,2021-07-15,tak,balkon,2/10,
"Warszawa, Mokotów, ul. Gotarda",549000,41.6,3,wtórny,blok,"domofon / wideofon, monitoring / ochrona",balkon,3/10,
"Warszawa, Żoliborz, Gwiaździsta",1779000,119.4,5,wtórny,2007,monitoring / ochrona,taras,1/12,garaż/miejsce parkingowe
"Warszawa, Śródmieście, CENTRUM  Ul. Ogrodowa/Solidarności LUX PUSTE !",659000,38,2,wtórny,2022-07-15,plastikowe,balkon,4/8,
"Warszawa, Mokotów, Gagarina",490000,29,2,wtórny,1950,nie,,2/2,
"Warszawa, Białołęka, Tarchomin",760000,88,3,wtórny,2000,nie,balkon,3/3,garaż/miejsce parkingowe
"Warszawa, Ursus, ul. Skoroszewska",750000,74.04,3,wtórny,2007,tak,balkon,5/5,garaż/miejsce parkingowe
"Warszawa, Mokotów, ul. Białej Floty",1589000,94,4,pierwotny,2021-12-20,tak,balkon,1/6,garaż/miejsce parkingowe
"Warszawa, Mokotów, Gagarina",490000,29,2,wtórny,1950,nie,,2/2,
"Warszawa, Ursus, Posag 7 Panien",499000,45.31,2,wtórny,2022,"telewizja kablowa, internet, telefon",balkon,1/6,garaż/miejsce parkingowe
"Warszawa, Mokotów, Stegny, Batumi",499000,42.4,2,wtórny,blok,"telewizja kablowa, internet, telefon",,4/10,garaż/miejsce parkingowe
"Warszawa, Mokotów, Wyględów, Miączyńska",799000,64.07,3,wtórny,1968,tak,balkon,1/10,garaż/miejsce parkingowe
"Warszawa, Mokotów, Wyględów, Miączyńska",799000,64.07,4,wtórny,1968,tak,balkon,1/10,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Powiśle, Solec",580000,36,2,wtórny,1978,tak,balkon,5/10,garaż/miejsce parkingowe
"Warszawa, Mokotów, Sielce, Chrystiana Piotra Aignera",1380000,72,3,wtórny,2020,"telewizja kablowa, internet, telefon",balkon,4/6,garaż/miejsce parkingowe
"Warszawa, Wilanów, Franciszka Klimczaka",999000,71.54,3,wtórny,2007,"telewizja kablowa, internet, telefon",balkon,parter/4,
"Warszawa, Praga-Północ",515000,37,2,wtórny,1966,tak,balkon,&gt; 10/11,
"Warszawa, Wilanów, Sarmacka",1190000,71.5,3,wtórny,2011,"telewizja kablowa, internet, telefon",balkon,2/3,garaż/miejsce parkingowe
"Warszawa, Wola, symboliczna 3",1860000,98,3,wtórny,2014,tak,balkon,8/9,garaż/miejsce parkingowe
"Warszawa, Ursynów",675000,63.3,3,wtórny,1979,,,6,
"Warszawa, Mokotów, Nałęczowska 33",1239000,74,3,wtórny,2022,tak,balkon,7/10,garaż/miejsce parkingowe
"Warszawa, Bemowo, ul. Stanisława Lencewicza",760000,66,3,wtórny,1978,tak,balkon,2/7,garaż/miejsce parkingowe
"Warszawa, Mokotów",460000,33,1,wtórny,2008,tak,,10/12,
"Warszawa, Praga-Północ, ul. Białostocka",1450000,95,3,wtórny,1929,"telewizja kablowa, internet, telefon",balkon,1/5,
"Warszawa, Mokotów",2150000,92,4,wtórny,1926,nie,balkon,1/2,
"Warszawa, Żoliborz, Stary Żoliborz, al. Aleja Wojska Polskiego",1500000,72,4,wtórny,1939,"telewizja kablowa, internet, telefon",,2/3,
"Warszawa, Żoliborz, Stary Żoliborz, al. Aleja Wojska Polskiego",1500000,70.2,3,wtórny,1939,nie,,1/2,
"Warszawa, Ursus, ul. Herbu Oksza",559000,58.27,3,pierwotny,2022-08-30,plastikowe,balkon,1/6,garaż/miejsce parkingowe
"Warszawa, Ursus, ul. Posag 7 Panien",499000,44,2,pierwotny,2023-07-01,plastikowe,balkon,4/7,garaż/miejsce parkingowe
"Warszawa, Bemowo, ul. Gustawa Morcinka",699000,64,3,wtórny,1988,tak,balkon,4/7,garaż/miejsce parkingowe
"Warszawa, Włochy, ul. Pilchowicka",269000,25,1,wtórny,2022-07-01,plastikowe,,3/8,
"Warszawa, Ursynów, Stokłosy",630000,64,3,wtórny,2022-07-08,tak,balkon,3/7,
"Warszawa, Żoliborz",770000,51.3,2,wtórny,1938,nie,,parter/3,
"Warszawa, Białołęka, Tarchomin, Majolikowa",516800,60.8,2,wtórny,2009,tak,balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Wola, Marcina Kasprzaka",677000,36.8,2,pierwotny,2022,tak,balkon,&gt; 10/27,
"Warszawa, Wilanów, ul. Oś Królewska",1330000,71.39,3,wtórny,2016,tak,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Bielany, ul. Gwiaździsta 27",654000,45.1,2,wtórny,1990,nie,,&gt; 10/12,
"Warszawa, Białołęka, ul. Gioacchino Rossiniego",475000,40.5,2,wtórny,2022-08-01,tak,balkon,2/2,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, ul. Celownicza 4",675405,50.03,2,wtórny,2021,tak,balkon,6/17,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, ul. Wiatraczna 29",570000,45.12,2,wtórny,2018,tak,balkon,3/8,
"Warszawa, Wilanów, Aleja Wilanowska",1079000,82,3,wtórny,2006,,"ogródek, taras",parter/3,garaż/miejsce parkingowe
"Warszawa, Ochota, ul. Grójecka",438000,36.5,2,wtórny,1964,tak,balkon,4/14,
"Warszawa, Włochy, ul. Jutrzenki",647000,57.71,3,pierwotny,2023,tak,"balkon, taras",1/6,garaż/miejsce parkingowe
"Warszawa, Białołęka, Leona Berensona",327298,37.06,2,pierwotny,2022,"telewizja kablowa, internet",balkon,1/2,
"Warszawa, Wola, Muranów, ul. Mordechaja Anielewicza",539000,45.5,3,wtórny,1970,"telewizja kablowa, internet, telefon",balkon,2/9,
"Warszawa, Praga-Południe, ul. Giuseppe Garibaldiego",760000,58.5,3,wtórny,2001,"telewizja kablowa, internet, telefon",balkon,4/5,garaż/miejsce parkingowe
"Warszawa, Ursus, ul. Herbu Oksza",740000,62.42,3,wtórny,2021,tak,balkon,4/6,garaż/miejsce parkingowe
"Warszawa, Białołęka, Leona Berensona",479199,59.52,4,pierwotny,2022,"telewizja kablowa, internet",ogródek,parter/2,
"Warszawa, Wola, Młynów, Rabsztyńska 3",619000,55,2,wtórny,kamienica,"drzwi / okna antywłamaniowe, monitoring / ochrona",,2/3,
"Warszawa, Śródmieście, Powiśle, ul. Juliana Smulikowskiego",2200000,95.46,4,wtórny,1936,nie,"balkon, ogródek",3/3,
"Warszawa, Mokotów, Karola Chodkiewicza",3100000,130.43,3,wtórny,2007,monitoring / ochrona,,&gt; 10/11,
"Warszawa, Praga-Południe, Paryska",770000,48.57,2,wtórny,1964,nie,,parter/2,
"Warszawa, Mokotów, Puławska",1781535,75.81,3,wtórny,2020,monitoring / ochrona,balkon,2/8,
"Warszawa, Żoliborz, Stary Żoliborz, gen. Józefa Zajączka",1248000,49.92,2,wtórny,2000,,,4/5,
"Warszawa, Śródmieście, Elektoralna",678000,51.18,2,wtórny,1950,,,1/3,
"Warszawa, Ochota, Włodarzewska",920000,70.52,3,wtórny,2006,,,2/8,
"Warszawa, Mokotów, Puławska",2554215,108.69,4,wtórny,2020,monitoring / ochrona,balkon,4/8,
"Warszawa, Ursus, ul. Jacka i Agatki",480000,41.5,2,wtórny,2022-06-01,plastikowe,balkon,3/4,
"Warszawa, Białołęka, ul. Ceramiczna",,71.99,3,,,,balkon,5/5,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Ceramiczna",,67.57,3,,,,balkon,2/5,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Leszno",550000,46.7,2,wtórny,1957,tak,,4/5,
"Warszawa, Wola, ul. Marynin",565000,46.9,2,wtórny,2004,nie,balkon,3/3,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Kolejowa",854000,32.89,1,wtórny,2020,tak,taras,1/6,
"Warszawa, Ursynów, Stefana Szolc-Rogozińskiego",720000,57,3,wtórny,2023-03-01,nie,balkon,&gt; 10/15,garaż/miejsce parkingowe
"Warszawa, Bielany, Wrzeciono",440000,47.9,2,wtórny,2022-07-01,plastikowe,balkon,4/4,
"Warszawa, Bemowo, ul. Budy",575000,51,2,wtórny,1982,tak,balkon,4/8,garaż/miejsce parkingowe
"Warszawa, Śródmieście, ul. Stanisława Noakowskiego",2950000,142,4,wtórny,2022-07-05,drewniane,balkon,6/7,
"Warszawa, Praga-Południe",489000,33,2,wtórny,1957,nie,balkon,1/4,
"Warszawa, Białołęka, ul. Pawła Włodkowica",,40.52,2,,,,ogródek,parter/3,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Ceramiczna",806675,78.7,4,,,,balkon,2/5,garaż/miejsce parkingowe
"Warszawa, Białołęka, Tarchomin",673200,44,2,pierwotny,2014,nie,balkon,3/7,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Ceramiczna",726957,73.43,4,,,,balkon,parter/5,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Pawła Włodkowica",,70.23,4,,,,ogródek,parter/3,garaż/miejsce parkingowe
"Warszawa, Ochota, Stara Ochota",549000,40,2,wtórny,1956,meble,,3/6,
"Warszawa, Wilanów, Adama Branickiego",650000,40,2,wtórny,2010,tak,balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Mokotów, Gotarda",613500,47.2,3,wtórny,1972,tak,balkon,2/10,
"Warszawa, Rembertów, Topograficzna",649000,74,4,wtórny,1984,nie,balkon,1/3,
"Warszawa, Rembertów, Michała Okurzałego",489000,52,2,wtórny,1955,nie,balkon,1/3,
"Warszawa, Białołęka, Tarchomin, ul. Majolikowa",530000,49.82,2,wtórny,2007,nie,balkon,3/3,garaż/miejsce parkingowe
"Warszawa, Mokotów",679000,46,4,wtórny,blok,internet,,parter/4,
"Warszawa, Bielany, ul. Dorycka",319000,24.4,1,wtórny,1970,tak,balkon,9/10,
"Warszawa, Ursus, ul. Posag 7 Panien",835000,63,4,pierwotny,2022,tak,balkon,4/7,garaż/miejsce parkingowe
"Warszawa, Ochota, Jasielska",319000,19,1,wtórny,2022-07-05,plastikowe,balkon,1/4,
"Warszawa, Praga-Północ",650000,39,2,wtórny,1968,tak,balkon,5/7,garaż/miejsce parkingowe
"Warszawa, Śródmieście",1150000,53,2,wtórny,1950,tak,,4/4,garaż/miejsce parkingowe
"Warszawa, Wawer, ul. Mrówcza",679000,140,4,pierwotny,2022,nie,"balkon, ogródek",2/3,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Saska Kępa, ul. Zwycięzców",895000,54,2,wtórny,1960,nie,balkon,4/4,
"Warszawa, Ursynów",985000,64.81,3,wtórny,2022,tak,balkon,3,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Krokwi",530000,50.5,2,wtórny,2014,tak,"balkon, taras",1/3,
"Warszawa, Wawer, Miedzeszyn, ul. Celulozy",899000,75,4,wtórny,2022,internet,"ogródek, taras",parter/1,garaż/miejsce parkingowe
"Warszawa, Włochy, ul. Szybka",,99.35,4,,,,balkon,2/6,garaż/miejsce parkingowe
"Warszawa, Bemowo, ul. Mieczysława Wolfkego 4",699000,65,3,wtórny,1990,tak,balkon,parter/10,
"Warszawa, Bielany",538000,44,2,wtórny,1980,tak,balkon,&gt; 10/15,
"Warszawa, Praga-Południe, Majdańska",749000,62.5,3,wtórny,2022-07-16,tak,balkon,&gt; 10/17,
"Warszawa, Rembertów",448000,64.04,3,wtórny,1930,nie,,1/2,
"Warszawa, Bemowo, Górce, Łagowska",569000,60,3,wtórny,1983,tak,balkon,9/10,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Gocław, Jana Nowaka-Jeziorańskiego",795000,56.5,2,wtórny,2010,"telewizja kablowa, internet, telefon","balkon, taras",3/7,garaż/miejsce parkingowe
"Warszawa, Bielany, Piaski, ul. Jana Kochanowskiego",676450,56.38,3,wtórny,1976,nie,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Bielany, Sokratesa 13C",1115000,79.37,3,wtórny,drewniane,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","balkon, taras",5/8,garaż/miejsce parkingowe
"Warszawa, Wola, Muranów, Muranów, Pokorna",750000,39.23,2,wtórny,2012,nie,balkon,1/7,
"Warszawa, Wola, Okopowa 43",649000,44.51,3,wtórny,1970,tak,balkon,7/11,
"Warszawa, Wola, ul. Mordechaja Anielewicza",768000,48,2,wtórny,blok,"drzwi / okna antywłamaniowe, domofon / wideofon",balkon,1/8,
"Warszawa, Targówek, Bródno, Wybrańska",445000,47,3,wtórny,1973,nie,balkon,4/4,
"Warszawa, Ursynów",750000,62,3,wtórny,blok,piwnica,balkon,3/3,garaż/miejsce parkingowe
"Warszawa, Ursus, ul. Aleksandra Prystora",975000,65,3,wtórny,2018,tak,ogródek,parter/2,garaż/miejsce parkingowe
"Warszawa, Ursynów, ul. Związku Walki Młodych 16",695000,59,3,wtórny,blok,"telewizja kablowa, internet",balkon,4/4,
"Warszawa, Ochota, ul. Żwirki i Wigury",349000,20.35,1,wtórny,1990,tak,,7/10,
"Warszawa, Targówek, ul. Złotopolska",430000,32,2,wtórny,1980,tak,balkon,6/9,
"Warszawa, Białołęka, ul. Szumiących Traw 2",590000,54.41,3,wtórny,2002,nie,balkon,2/2,garaż/miejsce parkingowe
"Warszawa, Praga-Południe",399000,47,2,wtórny,1978,tak,balkon,4/13,
"Warszawa, Bielany, Leopolda Staffa",649999,47,2,wtórny,2022-07-04,nie,balkon,3/4,
"Warszawa, Praga-Południe, Grochów",389000,32.95,1,wtórny,1980,"internet, telefon",balkon,parter/10,
"Warszawa, Mokotów, Służewiec, Puławska",1470000,96,3,wtórny,2009,monitoring / ochrona,,7/10,
"Warszawa, Ursynów",790000,64.9,3,wtórny,1980,tak,balkon,parter/12,
"Warszawa, Bielany",849000,64.9,4,wtórny,1970,nie,balkon,4/4,
"Warszawa, Bemowo, ul. Batalionów Chłopskich",630000,42.43,2,wtórny,2015,"telewizja kablowa, internet",balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Mokotów, ul. Bełska",579000,49,3,wtórny,blok,"telewizja kablowa, internet, telefon",balkon,2/10,
"Warszawa, Białołęka, Białołęka Dworska",599000,60,3,wtórny,2015,nie,balkon,1/2,garaż/miejsce parkingowe
"Warszawa, Białołęka, Tarchomin, Milenijna 51",695000,67,3,wtórny,2010,tak,taras,1/6,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Jana Kazimierza",748340,52.7,2,wtórny,2013,tak,balkon,6/8,garaż/miejsce parkingowe
"Warszawa, Ursynów",920000,62.5,3,wtórny,2010,tak,balkon,4/8,garaż/miejsce parkingowe
"Warszawa, Wilanów, Herbu Janina",1590000,89,4,wtórny,nie,,balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Włochy, al. Aleja Dwudziestolatków",364000,28,1,wtórny,1974,nie,,parter/4,
"Warszawa, Mokotów, Dolny Mokotów",2250000,113.5,3,wtórny,2006,tak,balkon,1/3,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Geodezyjna",1890000,151,5,wtórny,2009,tak,"balkon, taras",4/4,garaż/miejsce parkingowe
"Warszawa, Wilanów",940000,61,2,wtórny,nie,,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Mokotów",1130000,69,3,wtórny,nie,,,3/8,
"Warszawa, Wilanów, Prymasa Augusta Hlonda",1790000,103.7,3,wtórny,2009,"zmywarka, lodówka, piekarnik, kuchenka",balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Wilanów",4250000,222.8,5,pierwotny,2022,pom. użytkowe,ogródek,parter/2,garaż/miejsce parkingowe
"Warszawa, Wilanów",3750000,209.46,5,pierwotny,2021,,ogródek,parter/2,garaż/miejsce parkingowe
"Warszawa, Wilanów",2300000,121.87,4,pierwotny,2021,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",balkon,1/2,garaż/miejsce parkingowe
"Warszawa, Mokotów, Sadyba",1950000,115.9,4,wtórny,2016,tak,"ogródek, taras",parter/5,garaż/miejsce parkingowe
"Warszawa, Śródmieście, pl. Plac Unii Lubelskiej",820000,53.66,2,wtórny,1938,tak,,4/5,
"Warszawa, Ursynów, Jana Rosoła",990000,71.5,3,wtórny,2000,tak,balkon,1/3,garaż/miejsce parkingowe
"Warszawa, Żoliborz, ul. Szamocka",930000,43.34,2,wtórny,2018,tak,ogródek,parter/4,garaż/miejsce parkingowe
"Warszawa, Bemowo, ul. Szeligowska",799999,64.41,3,wtórny,2017,tak,balkon,6/6,garaż/miejsce parkingowe
"Warszawa, Ursus",475000,33,2,wtórny,2018,tak,"balkon, taras",5/8,garaż/miejsce parkingowe
"Warszawa, Targówek, ul. Chodecka 18",390000,37.9,2,wtórny,2022-06-30,tak,balkon,10/10,
"Warszawa, Ochota, ul. Włodarzewska",1270000,138,5,wtórny,blok,"telewizja kablowa, internet","ogródek, taras",1/6,garaż/miejsce parkingowe
"Warszawa, Rembertów, ul. Pontonierów",1200000,126,4,wtórny,2020,nie,,4/4,
"Warszawa, Wilanów, al. Aleja Rzeczypospolitej 22",685000,41.41,2,pierwotny,2016,tak,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Mokotów",799000,55.5,2,wtórny,blok,domofon / wideofon,balkon,parter/6,
"Warszawa, Ursus, ul. Herbu Oksza",849900,62.85,3,wtórny,2017,tak,,5/7,garaż/miejsce parkingowe
"Warszawa, Ursus, Józefa Chełmońskiego",590000,46.2,2,wtórny,2022-07-12,monitoring / ochrona,balkon,7/7,garaż/miejsce parkingowe
"Warszawa, Bielany, Piaski, Zgrupowania AK ""Żmija""",1248000,118,4,wtórny,2022-09-01,plastikowe,balkon,4/4,garaż/miejsce parkingowe
"Warszawa, Włochy, Franciszka Hynka",550000,51,2,wtórny,1954,nie,balkon,2/3,
"Warszawa, Bemowo, Górczewska 200A",595000,41.7,2,wtórny,2007,tak,balkon,5/12,garaż/miejsce parkingowe
"Warszawa, Ursus, ul. Edwarda Habicha",580000,44.68,2,wtórny,2018,tak,balkon,1/7,garaż/miejsce parkingowe
"Warszawa, Białołęka",649000,72.4,3,wtórny,1999,tak,balkon,4/4,garaż/miejsce parkingowe
"Warszawa, Wawer, Falenica",870000,84,3,wtórny,2007,nie,,2/3,garaż/miejsce parkingowe
"Warszawa, Mokotów",550000,42,2,wtórny,2022-07-08,plastikowe,balkon,7/10,
"Warszawa, Śródmieście",495000,41.7,2,wtórny,2022-07-08,plastikowe,,4/4,
"Warszawa, Ochota, ul. Tadeusza Joteyki",,68.52,3,,,,taras,5/5,garaż/miejsce parkingowe
"Warszawa, Wola, Odolany, Bliska Wola Ordona Odolany",977300,58,3,wtórny,2015,tak,"balkon, taras",6/8,garaż/miejsce parkingowe
"Warszawa, Śródmieście",1049000,67.93,3,wtórny,2022-07-08,plastikowe,,parter/3,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Grochów, ul. Siennicka",680000,47,2,wtórny,2022-06-28,plastikowe,balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Wilanów",970000,60,3,wtórny,nie,,balkon,1/3,garaż/miejsce parkingowe
"Warszawa, Bielany, Wawrzyszew",530000,43.65,2,wtórny,1980,tak,balkon,1/11,
"Warszawa, Targówek, Bródno",935000,69.25,4,wtórny,2016,nie,ogródek,parter/4,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Krokwi",1629000,113.5,4,wtórny,2012,tak,balkon,1/3,garaż/miejsce parkingowe
"Warszawa, Białołęka",519000,49.5,2,wtórny,2002,monitoring / ochrona,balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Jana Kazimierza",720000,43.25,2,wtórny,2018,"telewizja kablowa, internet",balkon,3/6,garaż/miejsce parkingowe
"Warszawa, Targówek, ul. Krośniewicka",1990000,200,5,wtórny,2017,nie,balkon,1/1,
"Warszawa, Wola, Muranów, al. Aleja Jana Pawła II 68",740000,54.5,3,wtórny,1961,tak,balkon,1/9,
"Warszawa, Białołęka",680000,70,3,wtórny,1999,nie,,2/2,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, ul. Grochowska 357",489000,31.5,1,wtórny,2001,"teren zamknięty, domofon / wideofon, monitoring / ochrona",balkon,4/10,
"Warszawa, Włochy, Szczęsna",899000,62.2,2,wtórny,2013,nie,,1/3,
"Warszawa, Praga-Południe, Grochów, ul. Józefa Dwernickiego",850000,57.9,3,wtórny,1956,nie,,parter/4,garaż/miejsce parkingowe
"Warszawa, Białołęka, Leona Berensona",351199,41.03,2,pierwotny,2022,"telewizja kablowa, internet",ogródek,parter/2,
"Warszawa, Białołęka, Leona Berensona",327399,37.05,2,pierwotny,2022,"telewizja kablowa, internet",balkon,1/2,
"Warszawa, Mokotów, Stegny, ul. Iberyjska",650000,57.1,3,wtórny,1977,tak,balkon,&gt; 10/15,
"Warszawa, Mokotów, Jana Pawła Woronicza",455000,37,2,wtórny,nie,,,2/3,
"Warszawa, Włochy, Nowe Włochy",694312,58.84,2,wtórny,2015,tak,balkon,4/5,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Gocław, ul. Jerzego Bukowskiego",535000,50,2,wtórny,1995,tak,,5/8,
"Warszawa, Praga-Południe, Grochów, ul. Wspólna Droga",525000,49.39,2,wtórny,blok,"telewizja kablowa, internet, telefon",balkon,5/10,
"Warszawa, Śródmieście, Aleje Jerozolimskie",1750000,77,3,wtórny,2022-02-11,nie,,parter/6,
"Warszawa, Wola, ul. Jana Kazimierza 60",969000,63.6,3,wtórny,2009,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Ochota, Szczęśliwice, Włodarzewska",1090000,70.52,3,wtórny,2022-07-02,plastikowe,"balkon, taras",1/6,garaż/miejsce parkingowe
"Warszawa, Bielany, ul. Jana Kasprowicza",1300000,77.1,2,wtórny,2010,"teren zamknięty, domofon / wideofon, monitoring / ochrona",balkon,&gt; 10/13,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Osiedle Mała Praga",749000,49,3,wtórny,2016,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Bemowo, Siemiatycka",574500,49.91,2,wtórny,1977,"piwnica, pom. użytkowe",,&gt; 10/12,garaż/miejsce parkingowe
"Warszawa, Mokotów, Domaniewska",1028850,65.55,3,pierwotny,2023,monitoring / ochrona,ogródek,parter/7,garaż/miejsce parkingowe
"Warszawa, Mokotów, Domaniewska",784700,43.48,2,pierwotny,2023,monitoring / ochrona,,1/7,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Gocław, ul. gen. Augusta Emila Fieldorfa ",555000,37,2,wtórny,2009,"zmywarka, lodówka, meble, piekarnik",balkon,6/6,garaż/miejsce parkingowe
