Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
"Warszawa, Ursus",419000,42,2,pierwotny,blok,,,parter/8,
"Warszawa, Praga-Północ",650000,39,2,wtórny,1968,tak,balkon,5/7,garaż/miejsce parkingowe
"Warszawa, Mokotów, Górny Mokotów, ul. Wielicka",1445000,89,3,wtórny,2000,tak,balkon,7/8,garaż/miejsce parkingowe
"Warszawa, Mokotów, Bartłomieja",760000,66,3,wtórny,1972,nie,balkon,1/4,
"Warszawa, Wola, Obozowa 22",1050000,66,3,pierwotny,2022,tak,"balkon, ogródek, taras",parter/4,garaż/miejsce parkingowe
"Warszawa, Wawer",265000,40,2,wtórny,1987,nie,,1/1,garaż/miejsce parkingowe
"Warszawa, Targówek, Janowiecka",930000,77.32,4,wtórny,2022-07-04,tak,balkon,3/3,garaż/miejsce parkingowe
"Warszawa, Ochota",699980,36.22,2,wtórny,2020,tak,"balkon, taras",4/5,garaż/miejsce parkingowe
"Warszawa, Ursynów, ul. Stokłosy",675000,61.8,3,wtórny,1980,tak,balkon,4/10,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Gocław, ul. Jana Nowaka-Jeziorańskiego",795000,56.5,2,wtórny,2010,tak,"balkon, taras",3/7,
"Warszawa, Mokotów, ul. Nałęczowska",775000,50.3,3,pierwotny,2022,tak,balkon,1/10,garaż/miejsce parkingowe
"Warszawa, Ursynów, Polki",983000,78.43,4,pierwotny,2021,tak,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Małego Franka",440000,37.5,2,wtórny,1960,nie,,parter/3,
"Warszawa, Wola, Ulrychów, Józefa Sowińskiego",650000,41,2,wtórny,2022-07-07,tak,"ogródek, taras",parter/6,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Jana Nowaka-Jeziorańskiego",1110000,67,3,wtórny,2016,tak,,1/6,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Fabryczna",709000,47,3,wtórny,1966,"lodówka, piekarnik, kuchenka, pralka",,5/10,
"Warszawa, Bemowo, Szeligowska",878000,76.92,3,wtórny,2010,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Włochy, Sulmierzycka",940000,81,3,wtórny,blok,"domofon / wideofon, monitoring / ochrona",balkon,4/4,
"Warszawa, Praga-Północ, Stalowa",965000,65.28,3,wtórny,1905,nie,balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Targówek, Bródno, ul. Krasnobrodzka",635000,57,3,wtórny,blok,"telewizja kablowa, internet, telefon",balkon,1,
"Warszawa, Włochy, ul. Krańcowa",690000,56.25,3,wtórny,2022-07-11,plastikowe,balkon,5/7,
"Warszawa, Włochy, al. Aleje Jerozolimskie",1040000,98.9,4,wtórny,1999,"teren zamknięty, monitoring / ochrona",balkon,1/3,
"Warszawa, Mokotów, Dolny Mokotów, ul. Konstancińska",349000,27.1,1,wtórny,1970,tak,,1/10,
"Warszawa, Włochy, ul. Popularna",514000,43.02,2,wtórny,2023,tak,balkon,3/6,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Głębocka",499000,37.64,1,wtórny,2021,tak,balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Mokotów, ul. Antoniego Józefa Madalińskiego",825000,54.5,3,wtórny,1978,tak,balkon,3/10,garaż/miejsce parkingowe
"Warszawa, Mokotów, Służewiec, Postępu",942909,82.9,4,pierwotny,2022,"telewizja kablowa, internet",balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Mokotów, Służewiec, Postępu",565340,45,2,pierwotny,2022,"telewizja kablowa, internet",balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Ursus, Silnikowa",422000,42,2,pierwotny,2022,"telewizja kablowa, internet, telefon",balkon,parter/6,garaż/miejsce parkingowe
"Warszawa, Bemowo, Chrzanów, Szeligowska",844000,63.5,3,wtórny,2014,"system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","balkon, ogródek, taras",4/5,garaż/miejsce parkingowe
