Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
"Warszawa, Białołęka, Żerań, ul. Starowiślna",565000,41.34,2,wtórny,2019,tak,"ogródek, taras",parter/6,garaż/miejsce parkingowe
"Warszawa, Ursynów, Wyczółki",575000,43.52,2,wtórny,2021,tak,balkon,4/4,
"Warszawa, Śródmieście, Śródmieście Północne, ul. Pokorna 2",744000,37.4,2,wtórny,2011,tak,balkon,2/6,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Leona Berensona",444845,56.8,3,pierwotny,2021,tak,balkon,,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Saska Kępa, ul. Zakopiańska",1700000,91.5,4,wtórny,1939,nie,"balkon, ogródek",1/3,
"Warszawa, Mokotów, Czerniaków, ul. Zwierzyniecka 17",655000,57,3,wtórny,1972,tak,balkon,3/10,garaż/miejsce parkingowe
"Warszawa, Ursus, ul. Posag 7 Panien",530000,51.53,3,wtórny,2023,tak,balkon,2/7,garaż/miejsce parkingowe
"Warszawa, Ursus, ul. Posag 7 Panien",560000,55.28,3,wtórny,2023,tak,balkon,7/8,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Leona Berensona",325812,37.6,2,pierwotny,2021,tak,balkon,,garaż/miejsce parkingowe
"Warszawa, Białołęka, Choszczówka, Polnych Kwiatów",660000,69.5,3,wtórny,2022,internet,ogródek,2/2,garaż/miejsce parkingowe
"Warszawa, Wola",622000,43,2,pierwotny,apartamentowiec,"telewizja kablowa, internet, telefon",balkon,5/26,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Okrągła",,53.94,3,,,,,1/3,garaż/miejsce parkingowe
"Warszawa, Wola, Czyste, Józefa Bema",800000,53,2,wtórny,2022-07-07,plastikowe,,6/9,garaż/miejsce parkingowe
"Warszawa, mazowieckie",488000,41,2,pierwotny,blok,"telewizja kablowa, telefon",balkon,3/3,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Gocław, ul. gen. Tadeusza Bora-Komorowskiego",660000,48.27,2,wtórny,2008,tak,balkon,7/16,garaż/miejsce parkingowe
"Warszawa, Śródmieście, rynek Starego Miasta",2980000,125.59,5,wtórny,kamienica,"telewizja kablowa, internet, telefon",taras,5/5,
"Warszawa, Praga-Południe",1041300,70.17,3,pierwotny,2024,tak,balkon,parter/5,garaż/miejsce parkingowe
"Warszawa, Praga-Południe",661900,45.44,2,pierwotny,2024,tak,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, mazowieckie",401380,42,2,pierwotny,blok,telefon,,parter/3,garaż/miejsce parkingowe
"Warszawa, mazowieckie",584212,44.94,2,pierwotny,2023,tak,balkon,1/3,garaż/miejsce parkingowe
"Warszawa, mazowieckie",604800,57.6,3,pierwotny,2022,tak,balkon,4/8,garaż/miejsce parkingowe
"Warszawa, Żoliborz",770000,51.3,2,wtórny,1938,nie,,parter/3,
"Warszawa, Śródmieście, Wspólna",1050000,73,2,wtórny,1902,meble,,4/4,
"Warszawa, Wola, ul. Pawia",549000,47.5,3,wtórny,blok,"telewizja kablowa, internet, telefon",balkon,1/4,
"Warszawa, Białołęka, Nowodwory, Pasłęcka 14",,94.76,4,,,,taras,3/3,garaż/miejsce parkingowe
"Warszawa, Białołęka, Nowodwory, Pasłęcka 14",,29.82,1,,,,ogródek,parter/3,garaż/miejsce parkingowe
"Warszawa, Białołęka, Nowodwory, Pasłęcka 14",,49.4,2,,,,balkon,1/3,garaż/miejsce parkingowe
"Warszawa, Białołęka, Nowodwory, Pasłęcka 14",,63.09,3,,,,balkon,2/3,garaż/miejsce parkingowe
"Warszawa, Śródmieście, ul. Krakowskie Przedmieście",1350000,52,3,wtórny,1947,nie,,1/3,
"Warszawa, Targówek, ul. Zamkowa",,53.85,3,,,,,1/3,garaż/miejsce parkingowe
"Warszawa, Targówek, ul. Baryczków",969760,88.16,4,,,,balkon,3/6,garaż/miejsce parkingowe
"Warszawa, Białołęka, Nowodwory, Pasłęcka 14",,92.8,3,,,,taras,2/3,garaż/miejsce parkingowe
