Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
"Warszawa, Mokotów, Wróbla",650000,46,2,wtórny,1979,tak,balkon,1/10,
"Warszawa, Targówek, Wyspowa",599000,54.6,2,wtórny,2021-12-01,plastikowe,balkon,2/3,
"Warszawa, Mokotów, Maklakiewicza",823000,65,4,wtórny,1970,tak,,3/10,
"Warszawa, Targówek, Gościeradowska",659900,67.5,3,wtórny,1980,tak,balkon,6/10,
"Warszawa, Targówek, Gościeradowska",559900,53.6,3,wtórny,1975,domofon / wideofon,balkon,10/10,
"Warszawa, Wilanów",2800000,154,4,wtórny,2021-12-01,tak,taras,3/3,garaż/miejsce parkingowe
"Warszawa, Wawer, Radość",750000,74.66,4,pierwotny,2021,"telewizja kablowa, internet","balkon, ogródek",2/2,garaż/miejsce parkingowe
"Warszawa, Mokotów, Górny Mokotów, Pejzażowa",834000,60,3,wtórny,2008,nie,balkon,10/14,garaż/miejsce parkingowe
"Warszawa, Mokotów",2890000,156.3,4,wtórny,apartamentowiec,"telewizja kablowa, internet",balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Ursynów, rtm. Witolda Pileckiego",57910122,35.94,2,pierwotny,2022-12-31,tak,balkon,4/4,
"Warszawa, Mokotów, Stegny, Pory",498721,32.49,2,pierwotny,2023-06-30,plastikowe,,6/7,
"Warszawa, Mokotów, Siekierki, Polska",57468953,41.27,2,pierwotny,2023-12-31,plastikowe,balkon,1/3,
"Warszawa, Mokotów, ul. Zaniemyska",710000,49,2,wtórny,1964,nie,balkon,1/3,
"Warszawa, Białołęka, Żeglugi Wiślanej",449000,39,2,wtórny,2013,nie,balkon,2/3,garaż/miejsce parkingowe
"Warszawa, Targówek, ul. Krośniewicka 5",966081,74.89,3,pierwotny,2023,"telewizja kablowa, internet, telefon",balkon,1/2,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Nalewki",1480000,89.3,3,wtórny,2000,"telewizja kablowa, internet",balkon,1/7,garaż/miejsce parkingowe
"Warszawa, Ursynów, Henryka Raabego",970000,64,3,wtórny,2022-04-26,tak,,1/10,
"Warszawa, Wawer, Marysin Wawerski",570000,43.85,2,wtórny,2013,tak,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Śródmieście",749000,51,2,wtórny,2022-04-26,plastikowe,,2/5,
"Warszawa, Targówek, Bródno, Nadwiślańska",550000,51.4,3,wtórny,1979,nie,balkon,3/4,
"Warszawa, Mokotów, ul. Bluszczańska",636318,40.02,2,,,,,3/4,garaż/miejsce parkingowe
"Warszawa, Mokotów, ul. Bluszczańska",654787,40.67,2,,,,,4/4,garaż/miejsce parkingowe
"Warszawa, Mokotów, ul. Bluszczańska",628314,40.02,2,,,,,2/4,garaż/miejsce parkingowe
"Warszawa, Białołęka, Myśliborska",610000,53,3,wtórny,2022-04-13,plastikowe,,4/6,
"Warszawa, Praga-Północ, Targowa",895050,66.3,4,wtórny,2022-02-09,tak,balkon,6/6,garaż/miejsce parkingowe
"Warszawa, Ursynów",839000,55.65,2,wtórny,2013,monitoring / ochrona,balkon,9/10,garaż/miejsce parkingowe
"Warszawa, Wola",1095000,73,2,wtórny,1998,tak,,10/10,
"Warszawa, Śródmieście, Śródmieście Południowe, Wilcza",1160000,55,2,wtórny,1915,cegła,,4/5,
"Warszawa, Ursynów, ul. Ekologiczna",546000,42,2,wtórny,1997,nie,balkon,3/4,
"Warszawa, Mokotów",1300000,82.47,4,wtórny,2008,"telewizja kablowa, internet, telefon",balkon,3/16,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Gocław",68692959,40.41,2,wtórny,2020,tak,balkon,3/8,garaż/miejsce parkingowe
"Warszawa, Mokotów, Polska",694900,53.62,3,pierwotny,blok,,balkon,2/3,garaż/miejsce parkingowe
"Warszawa, Wola, Krochmalna",825000,30,1,wtórny,apartamentowiec,cegła,,1/6,
"Warszawa, Śródmieście, Powiśle, Górnośląska",639000,27.33,1,wtórny,2022-04-06,tak,,1/8,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Śródmieście Południowe, Ludwika Waryńskiego",859000,48.38,2,wtórny,2022-04-30,tak,,2/6,
"Warszawa, mazowieckie",400000,39.2,2,wtórny,2021-01-25,"zmywarka, lodówka, piekarnik, kuchenka",,2/2,
"Warszawa, Mokotów, Służewiec, Wincentego Rzymowskiego",418000,27.7,1,wtórny,2022-04-21,plastikowe,,9/11,
"Warszawa, Białołęka, Nowodwory, Sprawna",599000,51,3,pierwotny,2022-04-25,plastikowe,balkon,1/2,garaż/miejsce parkingowe
"Warszawa, Praga-Północ",515000,47,3,wtórny,2022-07-08,"piwnica, oddzielna kuchnia",balkon,9,
"Warszawa, Ursynów, Ludwika Hirszfelda",830000,56,3,wtórny,blok,"telewizja kablowa, internet, telefon",balkon,4/8,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Głębocka",990000,163.1,4,wtórny,2005,nie,"balkon, ogródek, taras",4/4,garaż/miejsce parkingowe
"Warszawa, Wilanów",660000,44.5,2,wtórny,nie,,,2,
"Warszawa, Śródmieście",619000,38,2,wtórny,1959,tak,balkon,parter/7,
"Warszawa, Mokotów, Stegny, Kaukaska",505000,42,2,wtórny,1973,telefon,,5/10,
"Warszawa, Białołęka",520000,64,3,wtórny,1996,nie,"balkon, ogródek",parter/3,
"Warszawa, Białołęka",710900,69.59,3,wtórny,2012,tak,balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Brzeziny",532840,60.55,2,pierwotny,2022,tak,balkon,2/2,garaż/miejsce parkingowe
"Warszawa, Ursynów, Natolin, al. Komisji Edukacji Narodowej",724999,46.8,2,wtórny,2022-04-25,plastikowe,balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Centrum",2450000,76,3,wtórny,2010,nie,balkon,3/6,garaż/miejsce parkingowe
"Warszawa, Białołęka",650000,57,3,wtórny,2018,tak,balkon,4/8,
"Warszawa, Białołęka, Kobiałka, Żeglugi Wiślanej",599000,55,2,wtórny,2011,nie,balkon,2/3,garaż/miejsce parkingowe
"Warszawa, Bielany, ul. Pabla Nerudy",665000,56.8,3,wtórny,1980,tak,balkon,1/15,
"Warszawa, Białołęka, Tarchomin, ul. Pasłęcka",549000,51.9,3,wtórny,2007,nie,"ogródek, taras",parter/3,
"Warszawa, Śródmieście, Dzielna 7a",670000,48.14,2,wtórny,1953,nie,,2/4,
"Warszawa, Wesoła, Broniewskiego",609000,56,3,wtórny,1973,tak,balkon,4/10,
"Warszawa, Mokotów, Górny Mokotów, Wiartel",649000,49.4,3,wtórny,1970,"piwnica, oddzielna kuchnia, pom. użytkowe",balkon,3/10,
"Warszawa, Śródmieście",670000,38,2,wtórny,1978,tak,balkon,5/10,
"ul. Wyspiarska, Warszawa, mazowieckie",,41.62,2,,,,"taras, ogródek",parter/5,garaż/miejsce parkingowe
"Warszawa, Białołęka, Belliniego",350000,33,1,wtórny,2018,tak,balkon,1/2,garaż/miejsce parkingowe
"Warszawa, Wola, Młynarska",636255,47.13,3,wtórny,2022-05-01,tak,balkon,1/10,garaż/miejsce parkingowe
"Warszawa, Bemowo, Obrońców Tobruku",2950000,159,4,wtórny,2004,tak,"balkon, taras",2/2,garaż/miejsce parkingowe
"Warszawa, Ursynów, Kanarkowa",588124,36,2,pierwotny,nie,,balkon,3/4,
"Warszawa, Ursynów, Kanarkowa",367152,21,1,pierwotny,nie,,,3/4,
"Warszawa, Ursynów, Kanarkowa",360561,20.79,1,pierwotny,nie,,balkon,3/4,
"Warszawa, Ursynów, Kanarkowa",360561,21,1,pierwotny,nie,,balkon,3/4,
"Warszawa, Mokotów, Bukowińska",1300000,82.47,4,wtórny,2008,tak,balkon,3/16,garaż/miejsce parkingowe
"Warszawa, Bemowo, Batalionów Chłopskich",599000,49,2,wtórny,2015,monitoring / ochrona,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Mokotów, Asfaltowa",840000,39,1,wtórny,2022-04-25,nie,,1/3,
"Warszawa, Mokotów, Wojciecha Żywnego",575000,45.4,3,wtórny,blok,"telewizja kablowa, internet, telefon",balkon,2/12,
"Warszawa, Targówek, Zacisze, Pszczyńska",1600000,165,7,wtórny,nie,,balkon,2/2,garaż/miejsce parkingowe
"Warszawa, Włochy, ul. Flagowa",399000,32,1,pierwotny,2019,meble,,1/5,
"Warszawa, Włochy, Flagowa",399900,32,1,pierwotny,plastikowe,,,1/5,
"Warszawa, Śródmieście, Flagowa",400217,32,1,pierwotny,nie,,,3/5,
"Warszawa, Śródmieście, Flagowa",377025,30.4,1,pierwotny,nie,,,1/5,
"Warszawa, Wilanów, Aleja Rzeczypospolitej",870000,55,2,wtórny,2014,,balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Mokotów",695000,61,3,wtórny,1978,,balkon,4/10,
"Warszawa, Białołęka, Dąbrówka Szlachecka",670623,72.11,3,pierwotny,2021,tak,balkon,1/3,garaż/miejsce parkingowe
"Warszawa, Włochy, Popularna",626000,44.71,2,pierwotny,2022,tak,balkon,3/3,garaż/miejsce parkingowe
"Warszawa, Włochy, Popularna",835632,58.03,3,pierwotny,2022-04-21,tak,taras,2/3,garaż/miejsce parkingowe
"Warszawa, Włochy, Popularna",458561,32.99,2,pierwotny,2022,tak,,1/3,garaż/miejsce parkingowe
"Warszawa, Ochota, Rakowiec, Rakowska",1299000,85,4,wtórny,2019,tak,balkon,8/8,garaż/miejsce parkingowe
"Warszawa, Mokotów, Konstruktorska",685000,42.63,2,pierwotny,2021,tak,balkon,6/8,garaż/miejsce parkingowe
"Warszawa, Wola",485000,38,2,wtórny,1961,nie,balkon,3,
"Warszawa, Bielany, Piaski, Władysława Broniewskiego",599000,56,3,wtórny,1973,pom. użytkowe,balkon,2/10,
"Warszawa, Ursus, Dzieci Warszawy",581932,58.3,4,pierwotny,2022,"system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona",,3/3,
"Warszawa, Białołęka, Dąbrówka Szlachecka",435645,41.49,2,pierwotny,nie,,ogródek,parter/2,garaż/miejsce parkingowe
"Warszawa, Żoliborz, Cytadela, Stary Żoliborz",2050000,99.6,3,wtórny,1928,"telewizja kablowa, internet, telefon",,parter/4,
"Warszawa, Praga-Północ, Markowska",1680000,96,3,wtórny,1906,,,3/3,
"Warszawa, Włochy, Al. Jerozolimskie (Reguły)",338725,26.61,1,pierwotny,2022-04-21,plastikowe,,4/4,
"Warszawa, Włochy, Al. Jerozolimskie (Reguły)",377025,30.4,1,pierwotny,2022-04-21,tak,,4/4,
"Warszawa, Mokotów",450000,28.63,1,wtórny,1956,nie,,3/4,
"Warszawa, Mokotów, Górny Mokotów",742000,56.21,3,wtórny,blok,"zmywarka, lodówka, piekarnik, kuchenka",balkon,7/10,
"Warszawa, Mokotów, Służew",460000,33,1,wtórny,1960,tak,,3/8,
"Warszawa, Żoliborz",699000,53,3,wtórny,1970,"piwnica, oddzielna kuchnia, pom. użytkowe",balkon,2/4,
"Warszawa, Śródmieście, Śródmieście Północne, Wilcza",999000,56,3,wtórny,2022-05-31,nie,balkon,4/4,
"Warszawa, Ochota, Stara Ochota, Grójecka",485000,37,2,wtórny,2022-04-30,tak,balkon,10/10,
"Warszawa, Wilanów, Zawady, Bruzdowa",1050000,93,4,wtórny,2007,oddzielna kuchnia,taras,parter/3,garaż/miejsce parkingowe
"Warszawa, Praga-Południe",560000,56,3,wtórny,1965,"telewizja kablowa, internet, telefon",balkon,4/4,
"Warszawa, Śródmieście, Grzybowska",3600000,135.3,5,wtórny,2009,oddzielna kuchnia,balkon,2/17,garaż/miejsce parkingowe
"Warszawa, Białołęka",435645,41.49,2,pierwotny,blok,pustak,ogródek,parter/3,
"Warszawa, Białołęka",613225,64.55,3,pierwotny,blok,pustak,balkon,1/3,garaż/miejsce parkingowe
"Warszawa, Mokotów, Bokserska",,42.69,2,,,,"taras, ogródek",parter/6,garaż/miejsce parkingowe
"Warszawa, Mokotów",1159000,78,4,pierwotny,2020,,,1/6,
"Warszawa, Ursynów",750000,59.25,3,wtórny,1982,nie,balkon,3/3,
"Warszawa, Bielany",690000,75.2,3,wtórny,1998,"telewizja kablowa, internet, telefon",balkon,2/3,
"Warszawa, Ochota",560000,37.8,2,wtórny,1968,tak,,5/12,
"Warszawa, Ursus",440000,36.1,2,wtórny,1970,tak,,5/10,
"Warszawa, Bemowo",850000,69.7,3,wtórny,2003,meble,balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Śródmieście",1500000,93.9,3,wtórny,2003,tak,,10/12,garaż/miejsce parkingowe
"Warszawa, Wola",749000,64.48,3,wtórny,1950,piwnica,,parter/2,
"Warszawa, Żoliborz",2000000,157.5,5,wtórny,2006,tak,balkon,10/11,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Ludwiki",,41.14,2,,,,"taras, ogródek",parter/8,garaż/miejsce parkingowe
"Warszawa, Wola, ul. Ludwiki",,114.29,5,,,,taras,4/8,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Ćmielowska",355000,35,2,wtórny,2001,tak,,3/3,
"Warszawa, Białołęka, ul. Brzeziny",543739,60.55,3,pierwotny,2022,tak,balkon,1/2,garaż/miejsce parkingowe
"Warszawa, Bielany",500000,48,3,wtórny,1972,nie,balkon,4/4,
"Warszawa, Białołęka",520000,64,2,wtórny,1996,nie,"balkon, ogródek",parter/3,
"Warszawa, Wola",890000,82,4,wtórny,1993,nie,balkon,4/4,
"Warszawa, Targówek, Zacisze",950000,89,4,wtórny,1995,nie,balkon,parter/2,
"Warszawa, Wola, Marcina Kasprzaka",3280000,164,5,wtórny,2022-07-01,tak,balkon,&gt; 10/13,garaż/miejsce parkingowe
"Warszawa, Bemowo",589000,46,3,wtórny,1982,"internet, telefon",balkon,parter/10,
"Warszawa, Białołęka",580000,70,3,wtórny,2000,"telewizja kablowa, internet",,5/5,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Twarda",2350000,58,2,wtórny,apartamentowiec,,,9/44,garaż/miejsce parkingowe
"Warszawa, Wesoła, Gościniec",600631,60.45,3,pierwotny,2022-01-01,,"balkon, taras",1/4,
"Warszawa, Białołęka, Konik Polny",330113,35.69,2,pierwotny,nie,,,2/2,
"Warszawa, Wola",762000,42.65,2,pierwotny,apartamentowiec,inne,balkon,5,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Brzeziny",489906,54.83,2,pierwotny,2022,tak,"balkon, ogródek",parter/2,garaż/miejsce parkingowe
"Warszawa, Białołęka",428312,46.81,3,pierwotny,apartamentowiec,inne,"balkon, ogródek, taras",parter,garaż/miejsce parkingowe
"Warszawa, Bielany",580000,51.6,3,wtórny,1970,,balkon,1,
"Warszawa, Mokotów, Górny Mokotów, Bukietowa 8",695500,47,2,wtórny,1963,nie,balkon,1/4,
"Warszawa, Bielany, Młociny, ul. Dorycka",399000,24.5,1,wtórny,1975,tak,balkon,6/10,
"Warszawa, Mokotów, ul. Arbuzowa",550000,50.16,2,wtórny,blok,"telewizja kablowa, internet, telefon",balkon,3/3,
"Warszawa, Śródmieście, Górnośląska",665000,38,2,wtórny,kamienica,,,1/4,
"Warszawa, Wola, Krochmalna",6867000,218,7,pierwotny,2021,monitoring / ochrona,"balkon, taras",7/8,
"Warszawa, Śródmieście, Szara",855100,50.3,2,wtórny,1937,"piwnica, oddzielna kuchnia",,1/4,
"Warszawa, Białołęka",760000,67.35,3,wtórny,2021,tak,balkon,3/3,garaż/miejsce parkingowe
"Warszawa, Bemowo, Ludomiła Rayskiego",480600,35.6,2,wtórny,2017,tak,balkon,parter/6,
"Warszawa, Ochota, ul. Stefana Baleya",475000,38,2,wtórny,1970,nie,,parter/4,
"Warszawa, Praga-Północ, ul. Wileńska",535000,35,2,wtórny,1937,nie,,parter/4,
"Warszawa, Mokotów, Niegocińska",365000,23,1,wtórny,2022-02-25,nie,balkon,1/4,
"Warszawa, Wawer, Anin, Poprzeczna VIII",753000,44.5,2,wtórny,2016,pustak,"ogródek, taras",parter/4,
"Warszawa, Bielany",520000,45,2,wtórny,2016,nie,"balkon, ogródek",parter/6,
"Warszawa, Bemowo, ul. Karola Miarki",900000,76,3,wtórny,blok,piwnica,balkon,1/7,
"Warszawa, Bielany, ul. Galla Anonima",500000,48,3,wtórny,nie,,balkon,4/4,
"Warszawa, Śródmieście",405000,24.4,1,wtórny,1967,,balkon,3,
"Warszawa, Ursus",,53.46,3,pierwotny,2023,"internet, telefon",balkon,1/3,garaż/miejsce parkingowe
"Warszawa, Ochota, Władysława Korotyńskiego",635000,49,3,wtórny,1976,oddzielna kuchnia,balkon,3/4,
"Warszawa, Praga-Południe",485000,44.74,2,wtórny,1955,nie,,3/4,
"Warszawa, Śródmieście, ul. Ludwika Zamenhofa",280000,19,1,wtórny,blok,cegła,,3/3,
"Warszawa, Wola, al. Solidarności",719000,72.95,4,wtórny,1975,monitoring / ochrona,,8/16,
"Warszawa, Wola",890000,61.14,3,wtórny,1980,system alarmowy,,10/11,
"Warszawa, Białołęka, Aluzyjna",425000,48.7,2,wtórny,2003,,,5/7,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Kopernika/Krakowskie Przedmieście/balkon/winda/piękna kamienica z 1938 r.",1891000,97,4,wtórny,1938,tak,balkon,4/7,
"Warszawa, Wola, Mirów, Platynowa",860000,46.5,3,wtórny,2022-04-22,plastikowe,balkon,4/10,
"Warszawa, Ursynów",1460000,98,4,wtórny,2009,meble,,1/10,garaż/miejsce parkingowe
"Warszawa, Mokotów, Leszczyny",2244000,113.47,3,wtórny,2012,monitoring / ochrona,balkon,2/3,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Plac Zamkowy",1400000,60,3,wtórny,1953,nie,,3/3,
"Warszawa, Praga-Południe",325000,28,1,wtórny,1939,cegła,,1/3,
"Warszawa, Mokotów, Siekierki",109569752,91.46,4,pierwotny,2023,monitoring / ochrona,,3/3,garaż/miejsce parkingowe
"Warszawa, Bemowo, Wieśniacza",609440,42.12,2,wtórny,2024-03-30,tak,balkon,3/6,garaż/miejsce parkingowe
"Warszawa, Bielany, Pabla Nerudy",683000,55,3,wtórny,1978,meble,,2/11,
"Warszawa, Wola, Jana Kazimierza",780000,57,3,wtórny,2016,tak,balkon,1/6,garaż/miejsce parkingowe
"Warszawa, Wilanów",858628,51.4,2,wtórny,2011,"telewizja kablowa, internet",,1/2,garaż/miejsce parkingowe
"Warszawa, Ursus, Gołąbki",599000,51,3,wtórny,2020,nie,ogródek,parter/1,garaż/miejsce parkingowe
"Warszawa, Bemowo",540000,39.5,1,wtórny,2001,"telewizja kablowa, internet",balkon,6/8,garaż/miejsce parkingowe
"Warszawa, Ochota",1360000,121.1,4,wtórny,1998,"telewizja kablowa, internet",balkon,2/3,garaż/miejsce parkingowe
"Warszawa, Ursus",789000,99.29,3,wtórny,2000,nie,,3/4,garaż/miejsce parkingowe
"Warszawa, Wola",665000,52.11,2,wtórny,1992,tak,,1/5,
"Warszawa, Wola, Ulrychów",1150000,65,3,wtórny,2020,tak,balkon,3/7,garaż/miejsce parkingowe
"Warszawa, Ursus",920000,85,4,wtórny,2000,"telewizja kablowa, internet, telefon","balkon, taras",parter/3,garaż/miejsce parkingowe
"Warszawa, Mokotów, Górny Mokotów",742000,56.21,3,wtórny,blok,"zmywarka, lodówka, piekarnik, kuchenka",balkon,7/10,
"Warszawa, Mokotów",1350000,83.9,3,wtórny,2012,"telewizja kablowa, internet",balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Bielany",650000,62.8,3,wtórny,1991,tak,balkon,8/11,
"Warszawa, Wola, Mirów, Śliska",570000,38,2,wtórny,1990,tak,balkon,3/8,
"Warszawa, Białołęka, Konik Polny",507142,58.97,3,pierwotny,nie,,,1/2,
"Warszawa, Białołęka, Konik Polny",399829,44.18,3,pierwotny,nie,,,1/2,
"Warszawa, Białołęka",845000,114,3,pierwotny,plastikowe,cegła,"balkon, ogródek",parter/2,
"Warszawa, Mokotów, Służewiec, Gotarda",450000,34.5,2,wtórny,1970,nie,,2/4,
"Warszawa, Ursynów, Związku Walki Młodych",1299000,100.6,3,wtórny,1981,dwupoziomowe,balkon,9/10,
"Warszawa, Bemowo, Zaborowska",690000,56.02,2,wtórny,2010,telewizja kablowa,balkon,1/5,garaż/miejsce parkingowe
"Warszawa, Targówek, Malborska",670000,56.4,3,wtórny,2022-04-21,plastikowe,balkon,7/11,
"Warszawa, Białołęka",410000,39.2,1,wtórny,1997,nie,,3/3,
"Warszawa, Ursynów, rtm. Witolda Pileckiego",31755033,18.31,1,pierwotny,2022-10-01,tak,balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Bielany",510000,37.32,1,wtórny,1958,nie,balkon,1/3,
"Warszawa, Białołęka, Aluzyjna",470000,51,2,wtórny,2004,tak,,parter/9,
"Warszawa, Praga-Południe",650000,63,3,wtórny,1980,tak,balkon,5/10,garaż/miejsce parkingowe
"Warszawa, Praga-Południe",599000,57,3,wtórny,1965,piwnica,balkon,3/10,
"Warszawa, Bemowo",850000,80,3,wtórny,2022-04-21,plastikowe,balkon,5/10,
"Warszawa, Bemowo, ul. Zeusa",930000,99.3,3,wtórny,1999,nie,taras,2/2,garaż/miejsce parkingowe
"Warszawa, Wola, al. Prymasa Tysiąclecia",1269000,86.5,4,wtórny,1998,tak,,6/6,garaż/miejsce parkingowe
"Warszawa, Białołęka, Tarchomin, Pałuków",664040,63.85,3,pierwotny,2022-11-01,,,4/4,
"Warszawa, Śródmieście, ul. Nowiniarska",935000,40.11,1,wtórny,2022-08-01,plastikowe,,3/3,
"Warszawa, Ursus, Skoroszewska",730000,60,3,wtórny,2022-07-01,plastikowe,balkon,5/7,garaż/miejsce parkingowe
"Warszawa, Mokotów",675000,40,2,wtórny,kamienica,,,3/4,
"Warszawa, Śródmieście",2700000,76.37,2,wtórny,2014,internet,,&gt; 10/44,garaż/miejsce parkingowe
"Warszawa, Wawer, Ogórkowa",685000,68.6,3,wtórny,2000,,"ogródek, taras",parter/1,garaż/miejsce parkingowe
"Warszawa, Praga-Północ, Strzelecka",950000,77,3,wtórny,1920,,,5/5,
"Warszawa, Praga-Południe, Gocławek, Liwiecka",685000,54.2,2,wtórny,2022-04-21,nie,balkon,3/5,garaż/miejsce parkingowe
"Warszawa, Mokotów, Górny Mokotów, ul. Jana Pawła Woronicza",1198000,89,3,wtórny,2004,tak,balkon,6/11,garaż/miejsce parkingowe
"Warszawa, Białołęka, Tarchomin",604800,57.6,3,pierwotny,2022-11-01,,,4/8,
"Warszawa, Praga-Południe",620000,63.4,3,wtórny,1983,tak,,1/10,
"Warszawa, Wola",550000,50,3,wtórny,1973,"piwnica, oddzielna kuchnia, pom. użytkowe",,5/10,
"Warszawa, Bemowo, Karabeli",495000,46,3,wtórny,1979,inne,,3/12,
"Warszawa, Mokotów, ul. Puławska",1200000,74.2,3,wtórny,2021-01-10,plastikowe,balkon,6/10,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, Gocław",920000,94.8,5,wtórny,2022-04-20,plastikowe,balkon,3/3,garaż/miejsce parkingowe
"Warszawa, Bemowo, Zeusa",950000,99.5,3,wtórny,2000,"system alarmowy, monitoring / ochrona","balkon, taras",2/2,garaż/miejsce parkingowe
"Warszawa, Praga-Południe",721000,60,3,pierwotny,2023,tak,balkon,1/8,garaż/miejsce parkingowe
"Warszawa, Mokotów",450000,28.63,1,wtórny,1956,nie,,3/4,
"Warszawa, Wilanów",765000,53,2,wtórny,2011,tak,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Mokotów, Dolny Mokotów, ul. Jurija Gagarina",490000,29,2,wtórny,1950,nie,,2/2,
"Warszawa, Bemowo, gen. Waleriana Czumy",560000,58.7,3,wtórny,1978,"lodówka, meble, piekarnik, kuchenka",,3/11,
"Warszawa, Ursynów",584000,53.1,2,wtórny,1978,tak,balkon,&gt; 10/12,
"Warszawa, Białołęka, Marmurowa",479000,64.24,3,pierwotny,nie,,,3/3,
"Warszawa, Wola, Koło",1350000,86.56,4,wtórny,2022-04-21,plastikowe,taras,6/6,garaż/miejsce parkingowe
