Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
"Warszawa, Mokotów, Sadyba, ul. Ludwika Idzikowskiego",1200000,80.53,3,wtórny,2009,tak,balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Wola, Odolany, ul. Jana Kazimierza",640000,39.98,2,wtórny,2022-08-01,plastikowe,balkon,2/6,
"Warszawa, Ursus, ul. Dzieci Warszawy",546700,46,2,wtórny,blok,"system alarmowy, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",,7/7,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Powiśle, ul. Wilanowska",859000,48.12,3,wtórny,2022-08-01,plastikowe,balkon,5/6,
"Warszawa, Białołęka, ul. Jana Husa",612370,64.46,3,pierwotny,2022,tak,"balkon, taras",2/3,garaż/miejsce parkingowe
"Warszawa, Praga-Południe, ul. Łukowska",1150000,108,5,wtórny,1999,nie,,3/4,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Jasiniec",1576000,118.4,3,wtórny,2009,tak,"balkon, ogródek, taras",parter/3,garaż/miejsce parkingowe
"Warszawa, Bemowo, ul. Szeligowska",499000,33.9,1,wtórny,2021,tak,"balkon, taras",6/6,garaż/miejsce parkingowe
"Warszawa, Białołęka",480000,40.16,2,wtórny,2013,monitoring / ochrona,,2/2,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Odkryta 50",,51.29,2,pierwotny,2023,"telewizja kablowa, internet",ogródek,parter/4,garaż/miejsce parkingowe
"Warszawa, Wesoła, ul. Fabryczna",685568,62.85,3,pierwotny,2022,domofon / wideofon,balkon,4/4,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Brzeziny",703355,78.94,4,pierwotny,2022,tak,balkon,2/2,garaż/miejsce parkingowe
"Warszawa, Białołęka, Żeglugi Wiślanej",534000,65.9,3,wtórny,2009,monitoring / ochrona,,2/3,
"Warszawa, Wola",390000,27,1,wtórny,1966,piwnica,balkon,4,
"Warszawa, Rembertów",351000,35.17,2,wtórny,2023,"telewizja kablowa, internet, telefon",ogródek,5/5,garaż/miejsce parkingowe
"Warszawa, Wola, Ulrychów, Józefa Sowińskiego",875000,51,2,wtórny,2006,tak,,3/7,garaż/miejsce parkingowe
"Warszawa, Wola, Aleja Prymasa Tysiąclecia",580000,52,3,wtórny,blok,"telewizja kablowa, internet, telefon",balkon,8/10,garaż/miejsce parkingowe
"Warszawa, Mokotów, Wynalazek",1149000,72.5,3,wtórny,2021-09-14,drewniane,balkon,3/6,garaż/miejsce parkingowe
"Warszawa, Mokotów, Ludowa",2800000,115,3,wtórny,2006,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",taras,2/7,garaż/miejsce parkingowe
"Warszawa, Mokotów, ul. Edwarda Józefa Abramowskiego",860000,40.92,2,,,,taras,6/8,garaż/miejsce parkingowe
"Warszawa, Wola, Grzybowska 61",910442,46.93,2,wtórny,2009,nie,balkon,4/23,
"Warszawa, Białołęka",488000,43,2,wtórny,2019,tak,ogródek,parter/3,
"Warszawa, Śródmieście, Powiśle, Dobra",800000,57,2,wtórny,1960,,,1/4,
"Warszawa, Śródmieście, Nowolipki",685000,48,2,wtórny,1951,nie,,1/3,
"Warszawa, Wilanów, Aleja Rzeczypospolitej",750000,47,2,wtórny,2022-08-31,plastikowe,balkon,2/4,garaż/miejsce parkingowe
"Warszawa, Wilanów, al. Rzeczypospolitej",749000,50,2,wtórny,2016,nie,balkon,parter/4,
"Warszawa, Mokotów, Stegny, Kaukaska",505000,42,2,wtórny,1973,telefon,,5/10,
