Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
"Warszawa, Ursynów",860000,65,3,wtórny,1990,nie,balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Praga-Południe",625000,55,2,wtórny,2001,tak,balkon,2/4,
"Warszawa, Białołęka, Tarchomin, ul. Pasłęcka",549000,51.9,3,wtórny,2007,nie,"ogródek, taras",parter/3,
"Warszawa, Wola",604656,35.48,3,pierwotny,apartamentowiec,inne,balkon,1,garaż/miejsce parkingowe
"Warszawa, Wola",1260000,71,3,pierwotny,apartamentowiec,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","balkon, taras",4/8,garaż/miejsce parkingowe
"Warszawa, Mokotów",835000,82,4,pierwotny,apartamentowiec,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","balkon, taras",1/5,garaż/miejsce parkingowe
"Warszawa, Mokotów",680000,62,3,pierwotny,apartamentowiec,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","balkon, taras",2/5,garaż/miejsce parkingowe
"Warszawa, Mokotów",835000,80,4,pierwotny,apartamentowiec,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","balkon, ogródek, taras",parter,garaż/miejsce parkingowe
"Warszawa, Mokotów",784700,43.48,2,pierwotny,apartamentowiec,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","balkon, taras",1/7,garaż/miejsce parkingowe
"Warszawa, Mokotów",978000,87,4,pierwotny,apartamentowiec,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","balkon, taras",2,garaż/miejsce parkingowe
"Warszawa, Mokotów",500000,42,2,pierwotny,apartamentowiec,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","balkon, taras",parter/5,garaż/miejsce parkingowe
"Warszawa, Praga-Południe",422259,30.85,1,pierwotny,apartamentowiec,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","balkon, taras",2/8,garaż/miejsce parkingowe
"Warszawa, Praga-Południe",887000,82,3,pierwotny,apartamentowiec,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",ogródek,parter,garaż/miejsce parkingowe
"Warszawa, Praga-Południe",612288,42.97,2,pierwotny,apartamentowiec,"drzwi / okna antywłamaniowe, domofon / wideofon","balkon, taras",3/4,garaż/miejsce parkingowe
"Warszawa, Wesoła",444455,43.78,2,pierwotny,2022-11-01,nie,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Wesoła",434998,43.78,2,pierwotny,2022-11-01,nie,ogródek,parter/4,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Głębocka",620000,56.4,3,wtórny,2014,tak,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Bemowo, ul. Obrońców Tobruku 23, Osiedle Leśne",920000,62.49,2,wtórny,2021-11-01,drewniane,balkon,2/5,garaż/miejsce parkingowe
"Warszawa, Praga-Północ, Nowa Praga",575000,37.2,2,wtórny,kamienica,,,1,
"Warszawa, Ursus, ul. Poczty Gdańskiej",599000,50.52,2,wtórny,2001,nie,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Wawer, Radość",450000,40.39,2,wtórny,1936,nie,,parter/1,
"Warszawa, Wesoła, ul. Stefana Żeromskiego",,48.69,2,,,,,1/5,garaż/miejsce parkingowe
"Warszawa, Wilanów",950000,56.18,3,wtórny,2018,tak,balkon,1/4,garaż/miejsce parkingowe
"Warszawa, Śródmieście, Mokotowska",490000,16.53,1,wtórny,1940,nie,,1/4,garaż/miejsce parkingowe
"Warszawa, Mokotów, Cybernetyki",1049000,74.58,3,wtórny,2012,tak,balkon,5/6,garaż/miejsce parkingowe
"Warszawa, Wilanów, ul. Ruczaj",1250000,125.07,3,pierwotny,2019,nie,"ogródek, taras",parter/2,garaż/miejsce parkingowe
"Warszawa, Wilanów, ul. Ruczaj 117 D-ZB",560065,65.89,2,pierwotny,2019,,balkon,2,garaż/miejsce parkingowe
"Warszawa, Wesoła, ul. Fabryczna",433450,40.57,2,pierwotny,2022,domofon / wideofon,balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Praga-Południe",690468,56.14,3,pierwotny,2022-04-20,plastikowe,"ogródek, taras",parter/4,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Brzeziny",435574,47.14,2,pierwotny,2022,tak,balkon,1/2,garaż/miejsce parkingowe
"Warszawa, Włochy, ul. Ryżowa 22",1395000,112.86,4,pierwotny,2021,tak,balkon,2/2,garaż/miejsce parkingowe
"Warszawa, Włochy, ul. Obywatelska",,30.05,1,,,,balkon,5/5,garaż/miejsce parkingowe
"Warszawa, Ursus, Dzieci Warszawy",499000,35,1,wtórny,2006,tak,balkon,8/8,
"Warszawa, Bemowo",750000,84.65,4,wtórny,1990,nie,balkon,4/4,
"Warszawa, Włochy, ul. Obywatelska",,34.7,2,,,,,5/5,garaż/miejsce parkingowe
"Warszawa, Wola, Odolany, Symboliczna",940000,59.6,3,wtórny,2015,"telewizja kablowa, internet","balkon, taras",6/6,garaż/miejsce parkingowe
"Warszawa, Żoliborz, ul. Kaliny Jędrusik",890000,51,2,wtórny,2016,"telewizja kablowa, internet","ogródek, taras",parter/6,
"Warszawa, Białołęka",599000,55,2,wtórny,2011,nie,balkon,2/3,garaż/miejsce parkingowe
"Warszawa, Białołęka",725000,77.8,3,wtórny,2003,nie,balkon,2/2,garaż/miejsce parkingowe
"Warszawa, Wesoła, ul. Warszawska",720000,59.68,2,wtórny,2006,tak,balkon,2/3,garaż/miejsce parkingowe
"Warszawa, Centrum, ul. Żelazna",948000,68.8,3,wtórny,kamienica,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka",ogródek,parter/2,
"Warszawa, Wola, Młynów, ul. Jana Ostroroga 21",520000,28.98,1,wtórny,2020,tak,balkon,4/6,garaż/miejsce parkingowe
"Warszawa, Wilanów, al. Rzeczypospolitej",948000,60,3,wtórny,2014,monitoring / ochrona,balkon,3/4,garaż/miejsce parkingowe
"Warszawa, Białołęka, ul. Geodezyjna",1890000,151,5,wtórny,2009,tak,"balkon, taras",4/4,garaż/miejsce parkingowe
