,Address,Price,Space,Rooms,Market,Year,Evelevator,Balcony,Level,Parking place
47,"Warszawa, Białołęka, ul. Leona Berensona",325812.0,37.6,2,pierwotny,2021,tak,balkon,,garaż/miejsce parkingowe
48,"Warszawa, Białołęka, Choszczówka, Polnych Kwiatów",660000.0,69.5,3,wtórny,2022,internet,ogródek,2/2,garaż/miejsce parkingowe
49,"Warszawa, Wola",622000.0,43.0,2,pierwotny,apartamentowiec,"telewizja kablowa, internet, telefon",balkon,5/26,garaż/miejsce parkingowe
50,"Warszawa, Białołęka, ul. Okrągła",,53.94,3,,,,,1/3,garaż/miejsce parkingowe
51,"Warszawa, Wola, Czyste, Józefa Bema",800000.0,53.0,2,wtórny,2022-07-07,plastikowe,,6/9,garaż/miejsce parkingowe
52,"Warszawa, mazowieckie",488000.0,41.0,2,pierwotny,blok,"telewizja kablowa, telefon",balkon,3/3,garaż/miejsce parkingowe
53,"Warszawa, Praga-Południe, Gocław, ul. gen. Tadeusza Bora-Komorowskiego",660000.0,48.27,2,wtórny,2008,tak,balkon,7/16,garaż/miejsce parkingowe
54,"Warszawa, Śródmieście, rynek Starego Miasta",2980000.0,125.59,5,wtórny,kamienica,"telewizja kablowa, internet, telefon",taras,5/5,
55,"Warszawa, Praga-Południe",1041300.0,70.17,3,pierwotny,2024,tak,balkon,parter/5,garaż/miejsce parkingowe
56,"Warszawa, Praga-Południe",661900.0,45.44,2,pierwotny,2024,tak,balkon,1/5,garaż/miejsce parkingowe
57,"Warszawa, mazowieckie",401380.0,42.0,2,pierwotny,blok,telefon,,parter/3,garaż/miejsce parkingowe
58,"Warszawa, mazowieckie",584212.0,44.94,2,pierwotny,2023,tak,balkon,1/3,garaż/miejsce parkingowe
59,"Warszawa, mazowieckie",604800.0,57.6,3,pierwotny,2022,tak,balkon,4/8,garaż/miejsce parkingowe
60,"Warszawa, Żoliborz",770000.0,51.3,2,wtórny,1938,nie,,parter/3,
61,"Warszawa, Śródmieście, Wspólna",1050000.0,73.0,2,wtórny,1902,meble,,4/4,
62,"Warszawa, Wola, ul. Pawia",549000.0,47.5,3,wtórny,blok,"telewizja kablowa, internet, telefon",balkon,1/4,
63,"Warszawa, Białołęka, Nowodwory, Pasłęcka 14",,94.76,4,,,,taras,3/3,garaż/miejsce parkingowe
