iter	RMSE
0	0.4416483712
1	0.4327050268
2	0.4240300955
3	0.415920595
4	0.4078853853
5	0.3996790778
6	0.3926140193
7	0.3861086438
8	0.3797665006
9	0.3733963465
10	0.3676533244
11	0.3623939196
12	0.3566967195
13	0.3525013199
14	0.3475378965
15	0.342360592
16	0.3379657711
17	0.3334472624
18	0.3291718481
19	0.3247956105
20	0.3205432474
21	0.3162679901
22	0.3125264675
23	0.309190014
24	0.3057224006
25	0.3025325632
26	0.2993822777
27	0.2965421818
28	0.293819338
29	0.2909412563
30	0.2884931585
31	0.2861067425
32	0.2836908037
33	0.2811190568
34	0.2792672806
35	0.2770833991
36	0.2750812001
37	0.2730452621
38	0.2711291497
39	0.2695194743
40	0.2679298356
41	0.2665218853
42	0.2652205526
43	0.2637824227
44	0.2622748552
45	0.2609902234
46	0.2597169873
47	0.2584213641
48	0.257266017
49	0.2562458725
50	0.255122704
51	0.254165517
52	0.2531668232
53	0.2522965799
54	0.251461117
55	0.2504521008
56	0.2493057213
57	0.2482985074
58	0.2476820415
59	0.2470107433
60	0.2460739788
61	0.2452983914
62	0.2443517167
63	0.2437156077
64	0.242991076
65	0.2423619165
66	0.2416752548
67	0.2410142161
68	0.2403513056
69	0.2397873642
70	0.2392140929
71	0.2387409649
72	0.2382898594
73	0.2377329287
74	0.2371700056
75	0.236655592
76	0.2359501937
77	0.2355385601
78	0.2351332001
79	0.2348954424
80	0.2341550096
81	0.2337176621
82	0.2330346633
83	0.2327318116
84	0.2322542213
85	0.2319686798
86	0.2316564678
87	0.2311428258
88	0.2308237245
89	0.2304669626
90	0.2301033022
91	0.2296832576
92	0.2295130626
93	0.2291274715
94	0.2288003233
95	0.2284206924
96	0.2282155557
97	0.2279330452
98	0.2276929682
99	0.2273696916
100	0.227102007
101	0.2266171402
102	0.2259933554
103	0.2257685829
104	0.2255912116
105	0.2253312592
106	0.2248567216
107	0.2245866975
108	0.2243134495
109	0.2240776542
110	0.2238785798
111	0.2235541938
112	0.2234637261
113	0.2232345443
114	0.222997227
115	0.2228268788
116	0.2227185823
117	0.2224908835
118	0.2222082095
119	0.221879081
120	0.2217099914
121	0.2213495467
122	0.2212455348
123	0.2210139399
124	0.2207364602
125	0.2203963349
126	0.2201433271
127	0.2199868412
128	0.2195718834
129	0.2193380985
130	0.2189519534
131	0.2188327063
132	0.2185162654
133	0.2183975379
134	0.2181016732
135	0.217922369
136	0.2177296244
137	0.2173531823
138	0.2170914314
139	0.2170082243
140	0.2165119913
141	0.2161752985
142	0.215982071
143	0.2158367819
144	0.2156272235
145	0.2154861315
146	0.2151677934
147	0.2150651399
148	0.2147798318
149	0.2143587191
150	0.2140633526
151	0.2136997438
152	0.2134717346
153	0.2133022446
154	0.2131430492
155	0.2129755619
156	0.2129577939
157	0.2126851089
158	0.2122630276
159	0.2119482432
160	0.2115553508
161	0.2112883027
162	0.2109384611
163	0.2104798658
164	0.2101847374
165	0.2099884068
166	0.2098460907
167	0.2096101478
168	0.2092928074
169	0.2088712978
170	0.208740151
171	0.2084558014
172	0.2083758369
173	0.2081031146
174	0.2078693399
175	0.207793781
176	0.2074948476
177	0.2071745482
178	0.2070802522
179	0.2067931916
180	0.2067791983
181	0.2064304234
182	0.2062844039
183	0.2060671499
184	0.2058456983
185	0.2055870578
186	0.2054233492
187	0.2052271756
188	0.2048946563
189	0.2047771327
190	0.2046984377
191	0.2044136201
192	0.2042173003
193	0.2038575082
194	0.2035735227
195	0.203533472
196	0.2033654801
197	0.2031018917
198	0.2026841678
199	0.2023159762
200	0.2021894531
201	0.2019986719
202	0.2017994405
203	0.2015214558
204	0.2012752891
205	0.2009484047
206	0.2008510756
207	0.2006399848
208	0.2004448124
209	0.2001698934
210	0.2000019851
211	0.1999500411
212	0.1996128999
213	0.1994719263
214	0.1992964005
215	0.1990679018
216	0.1990328884
217	0.1988421792
218	0.1986003823
219	0.1985569268
220	0.1983651132
221	0.1980775534
222	0.1979219202
223	0.1976134898
224	0.1974406839
225	0.1972723746
226	0.197108294
227	0.1969424292
228	0.1966854727
229	0.1963965384
230	0.1962036219
231	0.1960442495
232	0.1960092379
233	0.1958045395
234	0.1955169472
235	0.1954509928
236	0.1952654564
237	0.1951662481
238	0.1949797387
239	0.1948229117
240	0.1946877796
241	0.1946415883
242	0.1945810544
243	0.1942809382
244	0.1942022952
245	0.1939849093
246	0.1937638003
247	0.1937357442
248	0.1936494323
249	0.193318157
250	0.1931381874
251	0.1930939649
252	0.1929221398
253	0.1927457941
254	0.192608923
255	0.1923396518
256	0.1921922382
257	0.1921432531
258	0.1920763567
259	0.1917749345
260	0.1917501386
261	0.1915712344
262	0.1914888715
263	0.1913359151
264	0.1911974083
265	0.1910503268
266	0.1909949824
267	0.1909703625
268	0.1909459673
269	0.1908225268
270	0.1905663479
271	0.1905142864
272	0.1903691406
273	0.190293409
274	0.1901509041
275	0.1899144131
276	0.1898516152
277	0.189828998
278	0.1895949973
279	0.1892982793
280	0.1892823236
281	0.1891891375
282	0.189057999
283	0.1890365472
284	0.1889097837
285	0.1888792343
286	0.188693199
287	0.1886817241
288	0.1885008979
289	0.1884445212
290	0.188204676
291	0.1879482268
292	0.1878717095
293	0.1877095974
294	0.1875514776
295	0.1873999346
296	0.1871885381
297	0.1869363624
298	0.1869035271
299	0.1868936873
300	0.1866838179
301	0.1866708195
302	0.1863851473
303	0.1861439001
304	0.1860935412
305	0.1860826179
306	0.1858686561
307	0.1858226811
308	0.1856926508
309	0.1855448284
310	0.1853147237
311	0.1852503368
312	0.1850593191
313	0.1850053103
314	0.1848409802
315	0.1845756679
316	0.1843282613
317	0.1843149307
318	0.1840690195
319	0.1840582751
320	0.1839527085
321	0.1836852401
322	0.1836736421
323	0.183645779
324	0.1835273532
325	0.1835160525
326	0.1832780301
327	0.1830248482
328	0.1827417693
329	0.1824577975
330	0.1823300807
331	0.1821908175
332	0.1820559057
333	0.1820455772
334	0.1817788486
335	0.1814824977
336	0.1812479722
337	0.1811058575
338	0.1809707553
339	0.1808306313
340	0.1808183154
341	0.1806088823
342	0.1804579665
343	0.1802445272
344	0.1800872707
345	0.1799021035
346	0.1797621721
347	0.1794752415
348	0.1794194582
349	0.1794098067
350	0.1793028515
351	0.1790438292
